material,n_particles,accuracy,r2,mae_days,rmse_days,mean_aleatoric_std_day,mean_epistemic_std_day,mean_total_std_day
ABS,36,1.0,0.9007893036433038,1.7702908081312974,2.13418263304928,2.9092566298616647,0.48724273852645755,2.9519644553278126
PBAT,36,1.0,0.9456664084156476,1.1369013206826315,1.579379655742497,2.8949701056498,0.4876718005559313,2.937881482346015
PBS,36,1.0,0.8651073565539906,2.056642518275314,2.488550540058923,3.016128609116861,0.4633918070537864,3.053494415442257
PCL,36,1.0,0.6467462165514253,3.267570851745808,4.027130873472217,4.081497066118354,0.4862631300886791,4.113675418130865
PLA,36,1.0,0.22076432156799086,5.120358135965136,5.981178273756636,4.724819642432685,0.6354692250628005,4.7729249377373755
PS,33,1.0,0.8507251882253228,2.1827352733323067,2.6843045751385777,3.4874786956848203,0.5053451768742862,3.5275994388537657
PVC,36,1.0,0.9595544128746053,1.0858549707465701,1.3626612455197942,2.844972698831564,0.7952837890348134,2.9590910433157624
