material,n_particles,accuracy,r2,mae_days,rmse_days,mean_aleatoric_std_day,mean_epistemic_std_day,mean_total_std_day
ABS,36,1.0,0.8772050990359955,1.803446790824334,2.374337758947268,2.863634933575053,0.46146344278941864,2.9017467570970714
PBAT,36,1.0,0.9387222164174632,1.2901273783710268,1.6772733893637355,2.871114602995409,0.45614851574812854,2.9086721097448813
PBS,36,1.0,0.8488803197734204,2.2325585699743695,2.633982259149313,3.0412708269300452,0.44242499304457694,3.0747902807622403
PCL,36,1.0,0.5128240957655702,3.759759411215782,4.729282232724391,4.39861704452607,0.551339959683129,4.437762176670162
PLA,36,1.0,0.26806421329085717,4.943743718994988,5.796806763410389,4.67590875166248,0.5303191645572958,4.708603433091131
PS,33,1.0,0.7962133815134156,2.539277206767689,3.136363253896302,3.2559189096997705,0.44972483624476517,3.2892538584898197
PVC,36,1.0,0.9569542233035583,1.0778563651773665,1.4057807976258045,2.84225759432333,0.544469808007732,2.8958511201977917
