material,n_particles,accuracy,r2,mae_days,rmse_days,mean_aleatoric_std_day,mean_epistemic_std_day,mean_total_std_day
ABS,36,1.0,0.9385152484573384,1.437227988615632,1.6801035278297418,2.8762460532197336,0.4162449928058506,2.907614701406331
PBAT,36,1.0,0.9534669775786442,1.1219324535793729,1.461614906028563,2.8570024698784406,0.4412113770669804,2.8928648622068613
PBS,36,1.0,0.8782271479716766,1.9754072941011853,2.3644360449858013,2.962753077722569,0.41992176386912383,2.994076748874242
PCL,36,1.0,0.607769976772262,3.479620377843579,4.243485762153706,3.8418340617567615,0.44175863157329337,3.869896634997682
PLA,36,1.0,0.28714567364945,4.868789460923937,5.720746813805265,4.35003305759708,0.48628065086614086,4.380868042981586
PS,33,1.0,0.8118359234887067,2.4681551637071553,3.0137476320383487,3.469489969714468,0.412498874226866,3.4965954144384526
PVC,36,1.0,0.9600176839226,0.770699495734233,1.3548346854559496,2.842282231397825,0.47133961446936784,2.8832149067252963
